OrigenID,DestinoID,Tiempo,Costo
S001,S002,16,63
S002,S003,12,116
S003,S004,28,53
S004,S005,9,52
S005,S006,26,107
S006,S007,9,49
S007,S008,26,56
S008,S009,11,108
S009,S010,28,88
S010,S011,25,48
S011,S012,34,51
S012,S013,25,30
S013,S014,21,110
S014,S015,12,99
S015,S016,15,37
S016,S017,32,69
S017,S018,22,46
S018,S019,15,41
S019,S020,12,102
S020,S021,10,105
S021,S022,18,36
S022,S023,20,101
S023,S024,28,107
S024,S025,28,115
S025,S026,28,116
S026,S027,9,101
S027,S028,27,82
S028,S029,33,104
S029,S030,11,65
S030,S031,16,115
S031,S032,19,53
S032,S033,12,35
S033,S034,5,86
S034,S035,23,115
S035,S036,11,72
S036,S037,10,92
S037,S038,18,100
S038,S039,21,112
S039,S040,32,31
S040,S041,28,68
S041,S042,33,100
S042,S043,12,86
S043,S044,13,92
S044,S045,21,34
S045,S046,34,116
S046,S047,16,84
S047,S048,27,71
S048,S049,12,35
S049,S050,28,68
S050,S051,22,107
S051,S052,19,61
S052,S053,25,75
S053,S054,14,63
S054,S055,13,64
S055,S056,6,38
S056,S057,18,118
S057,S058,10,106
S058,S059,7,105
S059,S060,28,60
S060,S061,25,101
S061,S062,13,20
S062,S063,33,30
S063,S064,26,118
S064,S065,28,20
S065,S066,29,108
S066,S067,18,73
S067,S068,32,84
S068,S069,8,35
S069,S070,24,102
S070,S071,23,40
S071,S072,25,24
S072,S073,31,111
S073,S074,17,106
S074,S075,12,43
S075,S076,21,105
S076,S077,18,59
S077,S078,24,75
S078,S079,15,40
S079,S080,21,112
S080,S081,28,112
XINVALID1,S001,10,50
XINVALID2,S001,10,50
XINVALID3,S001,10,50
XINVALID4,S001,10,50
XINVALID5,S001,10,50
XINVALID6,S001,10,50
XINVALID7,S001,10,50
XINVALID8,S001,10,50
XINVALID9,S001,10,50
XINVALID10,S001,10,50
S001,S002
S001,S002
S001,S002
S001,S002
S001,S002
S001,S002
S001,S002
S001,S002
S001,S002
S001,S002
