SucursalID,Nombre,CodigoBarra,Categoria,FechaCaducidad,Marca,Precio,Stock
S002,Arroz Bimbo 1,7612818734,Granos,2026-05-15,Bimbo,23.08,325
S003,Frijol Nestle 2,9949903552,Bebidas,2027-11-28,Nestle,176.54,368
S004,Pan Colgate 3,2163511326,Panaderia,2027-04-26,Colgate,65.48,174
S005,Jugo Ariel 4,3792023241,Carnes,2027-05-16,Ariel,68.68,188
S006,Jabon Palmolive 5,9335775497,Limpieza,2027-04-07,Palmolive,200.88,68
S007,Shampoo Del Monte 6,4806902320,Cuidado Personal,2028-05-16,Del Monte,30.79,488
S008,Aceite Maggi 7,7697172872,Aceites,2028-01-12,Maggi,191.77,462
S009,Azucar Kelloggs 8,1124350424,Condimentos,2027-12-11,Kelloggs,108.97,286
S010,Sal Pringles 9,8129012856,Endulzantes,2028-08-17,Pringles,184.62,415
S011,Cafe Coca Cola 10,7305593794,Frutas,2026-08-05,Coca Cola,173.66,72
S012,Cereal Pepsi 11,4719662275,Verduras,2027-05-12,Pepsi,73.30,372
S013,Atun Lay's 12,2458776997,Congelados,2028-03-08,Lay's,20.79,184
S014,Sardina Knorr 13,4317619408,Snacks,2027-09-22,Knorr,46.54,190
S015,Mayonesa McCormick 14,3582531930,Cereales,2027-10-20,McCormick,64.69,197
S016,Ketchup Dos Pinos 15,3252270277,Lacteos,2027-12-18,Dos Pinos,69.34,470
S017,Mostaza Bimbo 16,5747415530,Granos,2026-04-03,Bimbo,159.46,307
S018,Vinagre Nestle 17,1777727619,Bebidas,2028-10-12,Nestle,24.06,476
S019,Sopa Colgate 18,7436460775,Panaderia,2028-09-13,Colgate,125.03,104
S020,Pasta Ariel 19,2806388357,Carnes,2028-08-20,Ariel,107.35,355
S021,Leche Palmolive 20,4663145908,Limpieza,2028-10-27,Palmolive,79.77,247
S022,Arroz Del Monte 21,1040994746,Cuidado Personal,2026-07-23,Del Monte,186.26,446
S023,Frijol Maggi 22,8641634130,Aceites,2028-09-12,Maggi,202.02,17
S024,Pan Kelloggs 23,2445428504,Condimentos,2026-06-12,Kelloggs,41.23,16
S025,Jugo Pringles 24,6386051527,Endulzantes,2026-03-18,Pringles,65.66,78
S026,Jabon Coca Cola 25,5313178238,Frutas,2027-04-05,Coca Cola,65.82,231
S027,Shampoo Pepsi 26,9203031447,Verduras,2026-06-27,Pepsi,114.60,27
S028,Aceite Lay's 27,0881586241,Congelados,2026-09-19,Lay's,36.03,132
S029,Azucar Knorr 28,1515851076,Snacks,2026-06-24,Knorr,105.22,250
S030,Sal McCormick 29,5407101301,Cereales,2028-07-02,McCormick,144.96,376
S031,Cafe Dos Pinos 30,1079027193,Lacteos,2027-04-17,Dos Pinos,122.80,130
S032,Cereal Bimbo 31,2262731615,Granos,2027-02-08,Bimbo,141.40,279
S033,Atun Nestle 32,2397728660,Bebidas,2027-10-13,Nestle,202.48,255
S034,Sardina Colgate 33,4366515431,Panaderia,2028-05-15,Colgate,178.06,9
S035,Mayonesa Ariel 34,7561381367,Carnes,2027-06-15,Ariel,191.89,391
S036,Ketchup Palmolive 35,5948182069,Limpieza,2026-11-01,Palmolive,155.59,181
S037,Mostaza Del Monte 36,2568448602,Cuidado Personal,2026-11-12,Del Monte,44.02,87
S038,Vinagre Maggi 37,7002450762,Aceites,2026-03-03,Maggi,15.10,391
S039,Sopa Kelloggs 38,6184948113,Condimentos,2028-05-24,Kelloggs,93.13,333
S040,Pasta Pringles 39,1446546795,Endulzantes,2028-04-20,Pringles,109.30,92
S041,Leche Coca Cola 40,6459245173,Frutas,2027-10-08,Coca Cola,180.93,478
S042,Arroz Pepsi 41,4513283043,Verduras,2026-06-09,Pepsi,64.31,138
S043,Frijol Lay's 42,0421680406,Congelados,2028-05-28,Lay's,24.45,22
S044,Pan Knorr 43,0315682624,Snacks,2027-07-24,Knorr,170.82,39
S045,Jugo McCormick 44,7847931946,Cereales,2028-06-08,McCormick,156.81,69
S046,Jabon Dos Pinos 45,0895142890,Lacteos,2028-08-03,Dos Pinos,54.76,111
S047,Shampoo Bimbo 46,4694511446,Granos,2026-10-02,Bimbo,167.58,223
S048,Aceite Nestle 47,9647611811,Bebidas,2027-01-24,Nestle,111.84,416
S049,Azucar Colgate 48,1177391867,Panaderia,2028-07-12,Colgate,44.70,189
S050,Sal Ariel 49,0077327475,Carnes,2026-12-14,Ariel,122.51,443
S051,Cafe Palmolive 50,6210728538,Limpieza,2026-02-18,Palmolive,190.82,79
S052,Cereal Del Monte 51,1345701773,Cuidado Personal,2028-06-16,Del Monte,91.88,134
S053,Atun Maggi 52,8857933181,Aceites,2027-09-07,Maggi,97.33,47
S054,Sardina Kelloggs 53,8876667445,Condimentos,2027-01-11,Kelloggs,129.24,144
S055,Mayonesa Pringles 54,9706832997,Endulzantes,2026-09-07,Pringles,119.46,369
S056,Ketchup Coca Cola 55,7296641005,Frutas,2027-12-20,Coca Cola,61.92,124
S057,Mostaza Pepsi 56,1671924979,Verduras,2028-01-04,Pepsi,141.56,306
S058,Vinagre Lay's 57,9756864165,Congelados,2027-02-18,Lay's,188.32,319
S059,Sopa Knorr 58,4750095868,Snacks,2026-11-25,Knorr,125.33,312
S060,Pasta McCormick 59,0195897354,Cereales,2027-09-09,McCormick,73.87,227
S061,Leche Dos Pinos 60,7942505597,Lacteos,2028-06-01,Dos Pinos,195.50,88
S062,Arroz Bimbo 61,9149058491,Granos,2028-10-05,Bimbo,126.18,327
S063,Frijol Nestle 62,0618507808,Bebidas,2028-12-20,Nestle,113.92,401
S064,Pan Colgate 63,1356464216,Panaderia,2026-02-28,Colgate,196.39,75
S065,Jugo Ariel 64,5477228791,Carnes,2028-04-06,Ariel,134.95,114
S066,Jabon Palmolive 65,9890163626,Limpieza,2026-01-06,Palmolive,68.12,153
S067,Shampoo Del Monte 66,1650826129,Cuidado Personal,2028-05-13,Del Monte,41.34,244
S068,Aceite Maggi 67,7972661787,Aceites,2026-04-14,Maggi,126.79,48
S069,Azucar Kelloggs 68,8619029032,Condimentos,2027-06-21,Kelloggs,78.88,213
S070,Sal Pringles 69,7888249639,Endulzantes,2028-06-26,Pringles,184.19,453
S071,Cafe Coca Cola 70,7174116893,Frutas,2027-03-27,Coca Cola,138.44,370
S072,Cereal Pepsi 71,0005391001,Verduras,2028-09-22,Pepsi,8.30,206
S073,Atun Lay's 72,4217548327,Congelados,2028-04-22,Lay's,56.70,341
S074,Sardina Knorr 73,3246670861,Snacks,2027-03-28,Knorr,100.33,40
S075,Mayonesa McCormick 74,3920858931,Cereales,2027-12-06,McCormick,178.50,27
S076,Ketchup Dos Pinos 75,7792591274,Lacteos,2028-05-24,Dos Pinos,146.79,170
S077,Mostaza Bimbo 76,7059154430,Granos,2026-09-12,Bimbo,23.24,28
S078,Vinagre Nestle 77,7702021446,Bebidas,2028-06-13,Nestle,10.24,311
S079,Sopa Colgate 78,1826816489,Panaderia,2028-11-07,Colgate,118.69,108
S080,Pasta Ariel 79,6494038346,Carnes,2028-04-15,Ariel,172.95,463
S081,Leche Palmolive 80,7598810549,Limpieza,2028-01-23,Palmolive,156.77,402
S082,Arroz Del Monte 81,1515947422,Cuidado Personal,2027-05-14,Del Monte,140.19,113
S083,Frijol Maggi 82,4172307670,Aceites,2028-05-22,Maggi,24.43,8
S084,Pan Kelloggs 83,8137636474,Condimentos,2027-11-20,Kelloggs,32.97,128
S085,Jugo Pringles 84,5850697939,Endulzantes,2028-08-17,Pringles,70.17,265
S086,Jabon Coca Cola 85,0632961930,Frutas,2028-06-19,Coca Cola,55.85,488
S087,Shampoo Pepsi 86,7330987752,Verduras,2028-12-07,Pepsi,171.10,347
S088,Aceite Lay's 87,3719254640,Congelados,2026-12-07,Lay's,106.27,494
S089,Azucar Knorr 88,9895273219,Snacks,2028-07-15,Knorr,167.77,118
S090,Sal McCormick 89,5149384159,Cereales,2027-02-19,McCormick,56.63,100
S091,Cafe Dos Pinos 90,9731151216,Lacteos,2026-06-18,Dos Pinos,61.08,6
S092,Cereal Bimbo 91,1080812933,Granos,2027-03-20,Bimbo,88.04,496
S093,Atun Nestle 92,1587040445,Bebidas,2028-09-13,Nestle,43.76,211
S094,Sardina Colgate 93,2085725659,Panaderia,2028-02-16,Colgate,11.77,236
S095,Mayonesa Ariel 94,2880007455,Carnes,2028-01-10,Ariel,160.83,302
S096,Ketchup Palmolive 95,9227330857,Limpieza,2028-01-18,Palmolive,203.21,4
S097,Mostaza Del Monte 96,3623734550,Cuidado Personal,2028-09-21,Del Monte,8.39,315
S098,Vinagre Maggi 97,7811086206,Aceites,2028-09-02,Maggi,107.00,480
S099,Sopa Kelloggs 98,8239836215,Condimentos,2028-03-10,Kelloggs,92.28,86
S100,Pasta Pringles 99,3561981913,Endulzantes,2027-02-23,Pringles,75.29,383
S101,Leche Coca Cola 100,8151155441,Frutas,2027-01-13,Coca Cola,57.94,73
S102,Arroz Pepsi 101,2383713842,Verduras,2026-12-28,Pepsi,79.99,15
S103,Frijol Lay's 102,6925217409,Congelados,2026-07-07,Lay's,38.79,127
S104,Pan Knorr 103,2742370481,Snacks,2026-02-28,Knorr,72.24,318
S105,Jugo McCormick 104,9478616091,Cereales,2027-01-22,McCormick,140.19,84
S106,Jabon Dos Pinos 105,0095958743,Lacteos,2027-10-20,Dos Pinos,198.08,435
S107,Shampoo Bimbo 106,2013601626,Granos,2026-05-24,Bimbo,138.95,260
S108,Aceite Nestle 107,7017575213,Bebidas,2028-02-26,Nestle,158.57,42
S109,Azucar Colgate 108,8579256101,Panaderia,2026-01-04,Colgate,21.09,420
S110,Sal Ariel 109,4635633975,Carnes,2026-05-02,Ariel,122.01,323
S111,Cafe Palmolive 110,4188211211,Limpieza,2026-01-17,Palmolive,90.40,17
S112,Cereal Del Monte 111,9970696601,Cuidado Personal,2026-02-13,Del Monte,199.31,205
S113,Atun Maggi 112,8353128848,Aceites,2028-10-21,Maggi,183.87,15
S114,Sardina Kelloggs 113,4559345551,Condimentos,2027-06-11,Kelloggs,83.37,310
S115,Mayonesa Pringles 114,2132251657,Endulzantes,2028-07-05,Pringles,197.89,279
S116,Ketchup Coca Cola 115,2557466896,Frutas,2028-04-13,Coca Cola,67.05,378
S117,Mostaza Pepsi 116,4698307427,Verduras,2028-03-03,Pepsi,154.60,292
S118,Vinagre Lay's 117,0019528732,Congelados,2028-07-06,Lay's,57.07,110
S119,Sopa Knorr 118,2021634126,Snacks,2026-02-13,Knorr,123.39,13
S120,Pasta McCormick 119,3157148085,Cereales,2026-12-08,McCormick,74.86,307
S121,Leche Dos Pinos 120,7263788137,Lacteos,2026-02-11,Dos Pinos,116.12,390
S122,Arroz Bimbo 121,8349593675,Granos,2027-11-05,Bimbo,159.37,409
S123,Frijol Nestle 122,3790274949,Bebidas,2028-01-18,Nestle,79.28,376
S124,Pan Colgate 123,0191737020,Panaderia,2028-06-10,Colgate,88.49,25
S125,Jugo Ariel 124,5360335916,Carnes,2026-12-16,Ariel,166.90,374
S126,Jabon Palmolive 125,7281759478,Limpieza,2026-06-20,Palmolive,103.81,425
S127,Shampoo Del Monte 126,2378481061,Cuidado Personal,2026-03-28,Del Monte,43.23,415
S128,Aceite Maggi 127,0300145012,Aceites,2027-11-02,Maggi,50.39,300
S129,Azucar Kelloggs 128,5832227159,Condimentos,2027-01-13,Kelloggs,54.84,163
S130,Sal Pringles 129,1069614263,Endulzantes,2028-03-10,Pringles,56.27,68
S131,Cafe Coca Cola 130,6956689033,Frutas,2026-07-16,Coca Cola,128.60,273
S132,Cereal Pepsi 131,5172197703,Verduras,2028-03-13,Pepsi,100.77,100
S133,Atun Lay's 132,6790617698,Congelados,2028-09-09,Lay's,6.47,284
S134,Sardina Knorr 133,2399356604,Snacks,2027-09-04,Knorr,136.52,178
S135,Mayonesa McCormick 134,4270784598,Cereales,2028-11-23,McCormick,81.21,200
S136,Ketchup Dos Pinos 135,9493563401,Lacteos,2028-09-24,Dos Pinos,25.25,114
S137,Mostaza Bimbo 136,8260123990,Granos,2027-01-17,Bimbo,52.22,293
S138,Vinagre Nestle 137,1815957403,Bebidas,2028-02-21,Nestle,31.85,16
S139,Sopa Colgate 138,9741519899,Panaderia,2026-02-11,Colgate,95.33,78
S140,Pasta Ariel 139,3014437745,Carnes,2028-02-25,Ariel,53.21,264
