ID,Nombre,Ubicacion,t_ingreso,t_traspaso,t_despacho
S001,Sucursal Sur 1,Zona 2 Mixco,9,5,2
S002,Sucursal Este 2,Zona 3 Villa Nueva,4,3,4
S003,Sucursal Oeste 3,Zona 4 San Juan Sacatepequez,3,1,3
S004,Sucursal Central 4,Zona 5 Amatitlan,5,1,3
S005,Sucursal Principal 5,Zona 6 Quetzaltenango,3,5,3
S006,Sucursal Express 6,Zona 7 Coban,3,1,1
S007,Sucursal Plus 7,Zona 8 Escuintla,8,6,2
S008,Sucursal Max 8,Zona 10 Antigua Guatemala,3,4,1
S009,Sucursal Norte 9,Zona 11 Chiquimula,7,5,2
S010,Sucursal Sur 10,Zona 12 Guatemala,4,4,3
S011,Sucursal Este 11,Zona 13 Mixco,6,3,2
S012,Sucursal Oeste 12,Zona 14 Villa Nueva,5,2,3
S013,Sucursal Central 13,Zona 15 San Juan Sacatepequez,2,4,3
S014,Sucursal Principal 14,Zona 16 Amatitlan,6,2,3
S015,Sucursal Express 15,Zona 18 Quetzaltenango,5,5,3
S016,Sucursal Plus 16,Zona 1 Coban,8,3,4
S017,Sucursal Max 17,Zona 2 Escuintla,5,5,1
S018,Sucursal Norte 18,Zona 3 Antigua Guatemala,6,3,4
S019,Sucursal Sur 19,Zona 4 Chiquimula,6,3,3
S020,Sucursal Este 20,Zona 5 Guatemala,9,4,3
S021,Sucursal Oeste 21,Zona 6 Mixco,7,5,2
S022,Sucursal Central 22,Zona 7 Villa Nueva,3,5,2
S023,Sucursal Principal 23,Zona 8 San Juan Sacatepequez,7,2,4
S024,Sucursal Express 24,Zona 10 Amatitlan,5,2,1
S025,Sucursal Plus 25,Zona 11 Quetzaltenango,5,2,1
S026,Sucursal Max 26,Zona 12 Coban,4,1,3
S027,Sucursal Norte 27,Zona 13 Escuintla,4,2,1
S028,Sucursal Sur 28,Zona 14 Antigua Guatemala,6,1,3
S029,Sucursal Este 29,Zona 15 Chiquimula,2,4,4
S030,Sucursal Oeste 30,Zona 16 Guatemala,7,3,1
S031,Sucursal Central 31,Zona 18 Mixco,9,1,3
S032,Sucursal Principal 32,Zona 1 Villa Nueva,9,1,4
S033,Sucursal Express 33,Zona 2 San Juan Sacatepequez,2,6,2
S034,Sucursal Plus 34,Zona 3 Amatitlan,5,1,1
